# a,input,32,IEEE 754 float
# b,input,32,IEEE 754 float
# result,output,32,IEEE 754 float
#
a,b,expected_result,notes
32'h00000000,32'h00000000,32'h00000000,zero+zero = +0
32'h3f800000,32'h00000000,32'h3f800000,1.0+0.0 = 1.0
32'h3f800000,32'h40000000,32'h40400000,1.0+2.0 = 3.0
32'hbf800000,32'h40000000,32'h3f800000,-1.0+2.0 = 1.0
32'h3fc00000,32'h40200000,32'h40800000,1.5+2.5 = 4.0
32'h42c80000,32'h3f000000,32'h42c90000,100.0+0.5 = 100.5
32'hc0600000,32'h3fc00000,32'hc0000000,-3.5+1.5 = -2.0
32'h3fc00000,32'hbf000000,32'h3f800000,1.5+(-0.5) = 1.0
32'h47800000,32'h3f800000,32'h47800080,65536.0+1.0 = 65537.0
32'h00800000,32'h00800000,32'h01000000,min_normal+min_normal = next_normal
32'h7f7fffff,32'h3f800000,32'h7f7fffff,max_normal+1.0 = max_normal (1.0 negligible)
32'h7f000000,32'h7f000000,32'h7f800000,2^{127}+2^{127}=overflow_to_+Inf
32'h7fc00000,32'h3f800000,32'h7fc00000,QNaN+normal = NaN (propagate first NaN)
32'h7f800000,32'h3f800000,32'h7f800000,+Inf+normal = +Inf
32'hff800000,32'h3f800000,32'hff800000,-Inf+normal = -Inf
32'h7f800000,32'h7f800000,32'h7f800000,+Inf+(+Inf) = +Inf
32'h7f800000,32'hff800000,32'h7fc00000,+Inf+(-Inf) = NaN
32'h3f800000,32'hbf800000,32'h00000000,1.0+(-1.0) = +0 (exact cancellation)
32'h41000000,32'hc0e00000,32'h3f800000,8.0+(-7.0) = 1.0 (cancellation)
32'h80000000,32'h80000000,32'h80000000,-0+(-0) = -0
32'h3f800000,32'h33800000,32'h3f800000,1.0+2^{-24} = 1.0 (RNE tie LSB_even=donot_round)
32'h3f800001,32'h33800000,32'h3f800002,1.0+2^{-23}+2^{-24} = 1.0+2^{-22} (RNE tie LSB_odd=round_to_even)
32'h7fc00000,32'h7f800000,32'h7fc00000,NaN+Inf = NaN
32'h00000001,32'h00000001,32'h00000002,min_subnormal+min_subnormal = 2*min_subnormal
32'h00000001,32'h00800000,32'h00800001,min_subnormal+min_normal = normal_with_LSB_set
32'h80000000,32'h00000000,32'h00000000,-0+(+0) = +0
